distance_band,lang,deprel,n_arcs
all,de,amod,793
all,de,case,1525
all,de,nsubj,1136
all,de,obj,584
all,es,amod,1987
all,es,case,4940
all,es,nsubj,1930
all,es,obj,1524
all,fr,amod,485
all,fr,case,1309
all,fr,nsubj,519
all,fr,obj,344
all,gl,amod,572
all,gl,case,1364
all,gl,nsubj,446
all,gl,obj,465
all,it,amod,585
all,it,case,1541
all,it,nsubj,433
all,it,obj,336
all,pt,amod,944
all,pt,case,3378
all,pt,nsubj,1115
all,pt,obj,1026
all,ro,amod,1050
all,ro,case,2097
all,ro,nsubj,740
all,ro,obj,593
short_le2,de,amod,733
short_le2,de,case,1227
short_le2,de,nsubj,491
short_le2,de,obj,294
short_le2,es,amod,1817
short_le2,es,case,4456
short_le2,es,nsubj,1046
short_le2,es,obj,1038
short_le2,fr,amod,459
short_le2,fr,case,1224
short_le2,fr,nsubj,304
short_le2,fr,obj,245
short_le2,gl,amod,543
short_le2,gl,case,1230
short_le2,gl,nsubj,256
short_le2,gl,obj,358
short_le2,it,amod,559
short_le2,it,case,1373
short_le2,it,nsubj,253
short_le2,it,obj,263
short_le2,pt,amod,907
short_le2,pt,case,3113
short_le2,pt,nsubj,651
short_le2,pt,obj,695
short_le2,ro,amod,975
short_le2,ro,case,1978
short_le2,ro,nsubj,400
short_le2,ro,obj,492
medium_3_5,de,amod,51
medium_3_5,de,case,278
medium_3_5,de,nsubj,308
medium_3_5,de,obj,164
medium_3_5,es,amod,127
medium_3_5,es,case,474
medium_3_5,es,nsubj,496
medium_3_5,es,obj,387
medium_3_5,fr,amod,22
medium_3_5,fr,case,85
medium_3_5,fr,nsubj,127
medium_3_5,fr,obj,88
medium_3_5,gl,amod,23
medium_3_5,gl,case,133
medium_3_5,gl,nsubj,116
medium_3_5,gl,obj,84
medium_3_5,it,amod,24
medium_3_5,it,case,167
medium_3_5,it,nsubj,109
medium_3_5,it,obj,53
medium_3_5,pt,amod,31
medium_3_5,pt,case,258
medium_3_5,pt,nsubj,243
medium_3_5,pt,obj,288
medium_3_5,ro,amod,67
medium_3_5,ro,case,115
medium_3_5,ro,nsubj,214
medium_3_5,ro,obj,80
long_ge6,de,amod,9
long_ge6,de,case,20
long_ge6,de,nsubj,337
long_ge6,de,obj,126
long_ge6,es,amod,43
long_ge6,es,case,10
long_ge6,es,nsubj,388
long_ge6,es,obj,99
long_ge6,fr,amod,4
long_ge6,fr,nsubj,88
long_ge6,fr,obj,11
long_ge6,gl,amod,6
long_ge6,gl,case,1
long_ge6,gl,nsubj,74
long_ge6,gl,obj,23
long_ge6,it,amod,2
long_ge6,it,case,1
long_ge6,it,nsubj,71
long_ge6,it,obj,20
long_ge6,pt,amod,6
long_ge6,pt,case,7
long_ge6,pt,nsubj,221
long_ge6,pt,obj,43
long_ge6,ro,amod,8
long_ge6,ro,case,4
long_ge6,ro,nsubj,126
long_ge6,ro,obj,21
