distance_band,deprel,rho_micro_index,rho_macro,rho_micro_matched_loo,rho_micro_matched_loo_ci_low,rho_micro_matched_loo_ci_high,delta_loo_minus_index,delta_ci_low,delta_ci_high,p_delta_two_sided
all,amod,0.0897187142857142,0.2913753333333333,0.490581380952381,0.4238793166666667,0.5568141928571428,0.4008626666666666,0.3188876476190476,0.4775682428571428,9.999000099990002e-05
long_ge6,amod,0.1300810476190476,0.3310022380952381,0.3925639047619048,0.3413157726190476,0.4435071857142856,0.2624828571428572,0.1965256833333333,0.3248496845238095,9.999000099990002e-05
medium_3_5,amod,0.1130351904761904,0.5238095714285714,0.4787079047619048,0.4264498345238095,0.5334035666666667,0.3656727142857143,0.2929813642857143,0.4337126726190476,9.999000099990002e-05
short_le2,amod,0.0892064761904762,0.2790543333333333,0.5096721428571428,0.4429317428571429,0.574548957142857,0.4204656666666667,0.3364469345238095,0.4983135309523809,9.999000099990002e-05
all,case,0.0665022857142857,0.1581751904761904,0.3208472857142857,0.258461738095238,0.3965685583333334,0.254345,0.1984414702380952,0.3111318571428572,9.999000099990002e-05
long_ge6,case,0.0567011333333333,0.2615385333333334,0.2815544,0.2162787847689075,0.3631475907575757,0.2248532666666666,0.1719450323464912,0.2751283619230769,0.0001999800019998
medium_3_5,case,0.0619890476190476,0.3429902857142857,0.3792360476190476,0.3349586119047619,0.4234284023809523,0.3172469999999999,0.2331620488095238,0.3880049202380952,9.999000099990002e-05
short_le2,case,0.0643284761904761,0.1461870952380952,0.3399903333333333,0.2761501595238095,0.4136531809523809,0.2756618571428572,0.2118012773809524,0.3365220214285713,9.999000099990002e-05
all,nsubj,0.1716224285714286,0.4119214761904762,0.4998497619047619,0.4579622059523809,0.5536066178571429,0.3282273333333333,0.2772542809523809,0.3766361059523809,9.999000099990002e-05
long_ge6,nsubj,0.1428659047619047,0.5441226666666666,0.446714619047619,0.3981361357142858,0.4967821142857141,0.3038487142857143,0.2404582726190476,0.3597749202380952,9.999000099990002e-05
medium_3_5,nsubj,0.1553719047619047,0.5484515714285715,0.5593747142857143,0.513533392857143,0.6063953952380952,0.4040028095238095,0.3446821261904761,0.4532817583333333,9.999000099990002e-05
short_le2,nsubj,0.1485388095238095,0.3629702857142857,0.5399482380952381,0.5036419511904763,0.586978175,0.3914094285714286,0.3418183476190476,0.4350605869047619,9.999000099990002e-05
all,obj,0.1280037619047619,0.3516482857142857,0.5714071428571429,0.5159925154761905,0.6270848154761904,0.443403380952381,0.370604294047619,0.5058274666666667,9.999000099990002e-05
long_ge6,obj,0.089660619047619,0.4402264285714286,0.4931848571428571,0.4606524369047619,0.5307157476190477,0.403524238095238,0.3348999761904761,0.4586726642857143,9.999000099990002e-05
medium_3_5,obj,0.135824,0.4005993333333333,0.5741807142857142,0.5253186892857141,0.6243392821428572,0.4383567142857144,0.377371238095238,0.4842304273809524,9.999000099990002e-05
short_le2,obj,0.1234333809523809,0.366300380952381,0.5974061904761905,0.5494181821428571,0.6472908583333332,0.4739728095238096,0.4020868297619047,0.5328321238095236,9.999000099990002e-05
